description,category,person_names,dates,topics,effects,anatomical_terms
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Shannon Hickman, Teresa Rivera Incident occurred on 07 June 2020 Topics involved include harmful cultural practices Affected parts: reproductive organs.",Sexual assault and Abuse,Shannon Hickman; Teresa Rivera,07 June 2020,harmful cultural practices,,reproductive organs
Case overview: Right of a child to be registered at birth. Child reported by Michele Hamilton Incident occurred on 12 August 2023 Affected parts: clitoris.,Registration,Michele Hamilton,12 August 2023,,,clitoris
"Summary: Child tested positive for HIV. Child reported by Carol David Incident occurred on 30 May 2024 Topics involved include child labor, Female Genital Mutilation Effects reported: anxiety, trauma.",Child infected with HIV,Carol David,30 May 2024,child labor; Female Genital Mutilation,anxiety; trauma,
"Reported incident: Penetration act with a child including sodomy. Child reported by Donald Williams, Adam Foster Incident occurred on 19 September 2024 Topics involved include online child abuse Effects reported: anxiety.",Defilement,Donald Williams; Adam Foster,19 September 2024,online child abuse,anxiety,
"Narrative: Non-medical cutting or injury of female genitals. Child reported by Robin Hinton Incident occurred on 19 September 2023, 16 December 2024 Topics involved include online child abuse Effects reported: high rate of bleeding Affected parts: reproductive organs.",Female Genital Mutilation (FGM),Robin Hinton,19 September 2023; 16 December 2024,online child abuse,high rate of bleeding,reproductive organs
"Reported incident: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Luis Baker Incident occurred on 18 September 2020, 13 March 2022 Topics involved include Female Genital Mutilation, child marriage Effects reported: high rate of bleeding, psychological problems.",Abandoned,Luis Baker,18 September 2020; 13 March 2022,Female Genital Mutilation; child marriage,high rate of bleeding; psychological problems,
"Case overview: Marriage or cohabitation with a child. Child reported by Melissa Williams, Brett Tapia Incident occurred on 15 October 2023, 30 April 2024 Topics involved include drug and substance abuse, child marriage Effects reported: psychological problems.",Child marriage,Melissa Williams; Brett Tapia,15 October 2023; 30 April 2024,drug and substance abuse; child marriage,psychological problems,
Narrative: Child engaged in use or trafficking of drugs. Child reported by Emily Steele Incident occurred on 18 February 2025.,Drug and substance abuse,Emily Steele,18 February 2025,,,
"Reported incident: Acts harming a child's emotional development. Child reported by Laura Coleman Incident occurred on 12 April 2023, 30 September 2024 Topics involved include Female Genital Mutilation Affected parts: labia majora.",Emotional abuse,Laura Coleman,12 April 2023; 30 September 2024,Female Genital Mutilation,,labia majora
"Reported incident: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Angel Bell Incident occurred on 08 June 2021, 20 December 2022 Topics involved include online child abuse Effects reported: trauma, HIV.",Sexual assault and Abuse,Angel Bell,08 June 2021; 20 December 2022,online child abuse,trauma; HIV,
"Narrative: Child engaged in use or trafficking of drugs. Child reported by Scott Montoya, Carrie Evans Incident occurred on 10 February 2024 Topics involved include harmful cultural practices, child marriage Effects reported: infection, anxiety.",Drug and substance abuse,Scott Montoya; Carrie Evans,10 February 2024,harmful cultural practices; child marriage,infection; anxiety,
"Narrative: Infliction or failure to prevent physical harm to a child. Child reported by John Holmes, Jennifer Bailey Incident occurred on 17 January 2025, 31 March 2025 Effects reported: psychological problems, HIV.",Physical abuse/violence,John Holmes; Jennifer Bailey,17 January 2025; 31 March 2025,,psychological problems; HIV,
"Summary: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Robert Bailey Incident occurred on 31 July 2021 Topics involved include emotional abuse, child marriage Effects reported: HIV.",Abandoned,Robert Bailey,31 July 2021,emotional abuse; child marriage,HIV,
"Case overview: Acts harming a child's emotional development. Child reported by Christopher Hahn, Jerry Hall Incident occurred on 25 May 2024 Topics involved include Female Genital Mutilation Effects reported: infection.",Emotional abuse,Christopher Hahn; Jerry Hall,25 May 2024,Female Genital Mutilation,infection,
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Douglas Villarreal, Sean Garcia Incident occurred on 21 October 2020 Topics involved include online child abuse, child marriage Affected parts: labia majora.",Drug and substance abuse,Douglas Villarreal; Sean Garcia,21 October 2020,online child abuse; child marriage,,labia majora
"Reported incident: Sexual acts between close relatives. Child reported by Hannah Johnson Incident occurred on 01 October 2024 Topics involved include online child abuse, child labor.",Incest,Hannah Johnson,01 October 2024,online child abuse; child labor,,
"Summary: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Connie Gross Incident occurred on 19 March 2024, 26 March 2022 Effects reported: trauma.",Sexual assault and Abuse,Connie Gross,19 March 2024; 26 March 2022,,trauma,
"Reported incident: Infliction or failure to prevent physical harm to a child. Child reported by Kenneth Parsons, Kaylee Brown Incident occurred on 11 July 2022, 20 January 2024 Effects reported: trauma, high rate of bleeding Affected parts: genitals.",Physical abuse/violence,Kenneth Parsons; Kaylee Brown,11 July 2022; 20 January 2024,,trauma; high rate of bleeding,genitals
"Narrative: An attempt to penetrate a child. Child reported by Darlene Cole, David Adkins Incident occurred on 28 June 2024 Topics involved include Female Genital Mutilation, emotional abuse Effects reported: HIV, high rate of bleeding Affected parts: genitals.",Attempted Defilement,Darlene Cole; David Adkins,28 June 2024,Female Genital Mutilation; emotional abuse,HIV; high rate of bleeding,genitals
"Narrative: Child with impairments affecting daily life. Child reported by Melissa Reynolds, Brenda Carpenter Incident occurred on 13 October 2020, 20 December 2021 Topics involved include Female Genital Mutilation, child labor Effects reported: anxiety, HIV.",Child with disability,Melissa Reynolds; Brenda Carpenter,13 October 2020; 20 December 2021,Female Genital Mutilation; child labor,anxiety; HIV,
"Case overview: A child under 14 unlawfully or forcibly taken or detained. Child reported by Gregory Lee, Amy Fisher Incident occurred on 26 January 2022, 07 February 2025 Topics involved include child labor, emotional abuse Effects reported: trauma, infection Affected parts: reproductive organs.",Abduction,Gregory Lee; Amy Fisher,26 January 2022; 07 February 2025,child labor; emotional abuse,trauma; infection,reproductive organs
"Summary: Child tested positive for HIV. Child reported by Krista Holloway, John Malone Incident occurred on 16 February 2021 Topics involved include online child abuse Effects reported: HIV, high rate of bleeding Affected parts: genitals.",Child infected with HIV,Krista Holloway; John Malone,16 February 2021,online child abuse,HIV; high rate of bleeding,genitals
"Case overview: Marriage or cohabitation with a child. Child reported by Jillian Gibson, Donald Arias Incident occurred on 06 April 2024 Topics involved include child marriage, child labor Effects reported: psychological problems.",Child marriage,Jillian Gibson; Donald Arias,06 April 2024,child marriage; child labor,psychological problems,
"Summary: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Sarah Scott Incident occurred on 22 November 2022 Topics involved include drug and substance abuse, harmful cultural practices Affected parts: reproductive organs.",Abandoned,Sarah Scott,22 November 2022,drug and substance abuse; harmful cultural practices,,reproductive organs
"Summary: Child engaged in use or trafficking of drugs. Child reported by Thomas Johnson Incident occurred on 20 October 2024 Effects reported: anxiety, psychological problems.",Drug and substance abuse,Thomas Johnson,20 October 2024,,anxiety; psychological problems,
"Narrative: Marriage or cohabitation with a child. Child reported by Paul Johnson, Deanna Allen Incident occurred on 17 July 2024 Topics involved include Female Genital Mutilation Effects reported: high rate of bleeding, infection Affected parts: reproductive organs.",Child marriage,Paul Johnson; Deanna Allen,17 July 2024,Female Genital Mutilation,high rate of bleeding; infection,reproductive organs
"Narrative: Non-medical cutting or injury of female genitals. Child reported by Amy Graham, James Chavez Incident occurred on 06 April 2021, 09 January 2023 Topics involved include Female Genital Mutilation, drug and substance abuse.",Female Genital Mutilation (FGM),Amy Graham; James Chavez,06 April 2021; 09 January 2023,Female Genital Mutilation; drug and substance abuse,,
"Case overview: Care and control of a child by law or agreement. Child reported by Daniel Robertson, Tina Young Incident occurred on 03 July 2021, 30 October 2024 Topics involved include online child abuse, child labor Effects reported: infection.",Custody,Daniel Robertson; Tina Young,03 July 2021; 30 October 2024,online child abuse; child labor,infection,
"Summary: Child engaged in use or trafficking of drugs. Child reported by David Pace, Sarah Jackson Incident occurred on 11 December 2021 Topics involved include child labor, emotional abuse Effects reported: anxiety.",Drug and substance abuse,David Pace; Sarah Jackson,11 December 2021,child labor; emotional abuse,anxiety,
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Justin Pierce Incident occurred on 02 May 2023, 27 May 2021 Effects reported: infection.",Drug and substance abuse,Justin Pierce,02 May 2023; 27 May 2021,,infection,
"Reported incident: Infliction or failure to prevent physical harm to a child. Child reported by Chad James, Ashley Spears Incident occurred on 16 June 2022, 05 May 2023 Topics involved include emotional abuse.",Physical abuse/violence,Chad James; Ashley Spears,16 June 2022; 05 May 2023,emotional abuse,,
"Narrative: A child living, begging, or working on the street. Child reported by Henry Solomon Incident occurred on 02 October 2023 Effects reported: anxiety, psychological problems Affected parts: genitals.",Children on the Street,Henry Solomon,02 October 2023,,anxiety; psychological problems,genitals
"Reported incident: Acts harming a child's emotional development. Child reported by Timothy Ellis Incident occurred on 24 May 2022 Topics involved include emotional abuse, harmful cultural practices Effects reported: anxiety Affected parts: labia majora.",Emotional abuse,Timothy Ellis,24 May 2022,emotional abuse; harmful cultural practices,anxiety,labia majora
"Summary: Care and control of a child by law or agreement. Child reported by Lisa Black Incident occurred on 12 October 2023, 12 August 2024 Topics involved include child labor, emotional abuse Effects reported: HIV, infection Affected parts: genitals.",Custody,Lisa Black,12 October 2023; 12 August 2024,child labor; emotional abuse,HIV; infection,genitals
"Case overview: Penetration act with a child including sodomy. Child reported by James Wagner Incident occurred on 23 September 2021 Topics involved include harmful cultural practices, online child abuse Effects reported: high rate of bleeding Affected parts: genitals.",Defilement,James Wagner,23 September 2021,harmful cultural practices; online child abuse,high rate of bleeding,genitals
"Reported incident: Marriage or cohabitation with a child. Child reported by Whitney Bullock, Carla Jones Incident occurred on 14 March 2022, 21 February 2022 Effects reported: infection Affected parts: labia minora.",Child marriage,Whitney Bullock; Carla Jones,14 March 2022; 21 February 2022,,infection,labia minora
Summary: Penetration act with a child including sodomy. Child reported by Christopher Flores Incident occurred on 30 March 2021 Affected parts: labia minora.,Defilement,Christopher Flores,30 March 2021,,,labia minora
"Summary: An attempt to penetrate a child. Child reported by Adrian Robinson, Robin Perry Incident occurred on 25 January 2023, 01 June 2022 Topics involved include online child abuse Effects reported: infection Affected parts: labia majora.",Attempted Defilement,Adrian Robinson; Robin Perry,25 January 2023; 01 June 2022,online child abuse,infection,labia majora
"Summary: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Stephen Davis, Christopher Morrison Incident occurred on 01 April 2022.",Abandoned,Stephen Davis; Christopher Morrison,01 April 2022,,,
"Case overview: Practices like FGM, forced marriage, or virginity testing. Child reported by John Moore, Bruce Beck Incident occurred on 06 June 2022, 17 October 2023 Topics involved include Female Genital Mutilation, online child abuse Effects reported: trauma, anxiety.",Harmful cultural practices,John Moore; Bruce Beck,06 June 2022; 17 October 2023,Female Genital Mutilation; online child abuse,trauma; anxiety,
Case overview: Care and control of a child by law or agreement. Child reported by Heather Boyer Incident occurred on 03 September 2024.,Custody,Heather Boyer,03 September 2024,,,
"Summary: An attempt to penetrate a child. Child reported by Hannah Jones Incident occurred on 18 October 2022, 16 February 2025 Effects reported: high rate of bleeding.",Attempted Defilement,Hannah Jones,18 October 2022; 16 February 2025,,high rate of bleeding,
"Narrative: Girl under 18 who is pregnant. Child reported by Adrienne Mack Incident occurred on 28 July 2021 Topics involved include drug and substance abuse, child labor Effects reported: infection, HIV.",Child Pregnancy,Adrienne Mack,28 July 2021,drug and substance abuse; child labor,infection; HIV,
"Case overview: Care and control of a child by law or agreement. Child reported by Steven Green Incident occurred on 10 May 2023 Topics involved include child marriage Effects reported: infection, trauma.",Custody,Steven Green,10 May 2023,child marriage,infection; trauma,
"Case overview: A child living, begging, or working on the street. Child reported by Sheila Jackson Incident occurred on 05 September 2020, 26 January 2025.",Children on the Street,Sheila Jackson,05 September 2020; 26 January 2025,,,
"Narrative: Marriage or cohabitation with a child. Child reported by Patricia Stuart, Troy Marshall Incident occurred on 09 September 2022 Topics involved include online child abuse Affected parts: labia minora.",Child marriage,Patricia Stuart; Troy Marshall,09 September 2022,online child abuse,,labia minora
Reported incident: Care and control of a child by law or agreement. Child reported by Jessica Costa Incident occurred on 18 December 2021 Effects reported: trauma Affected parts: genitals.,Custody,Jessica Costa,18 December 2021,,trauma,genitals
"Narrative: Child with impairments affecting daily life. Child reported by Caleb Hicks, Michael Morton Incident occurred on 22 November 2023 Topics involved include drug and substance abuse, harmful cultural practices Effects reported: trauma, anxiety Affected parts: labia minora.",Child with disability,Caleb Hicks; Michael Morton,22 November 2023,drug and substance abuse; harmful cultural practices,trauma; anxiety,labia minora
"Reported incident: Child with impairments affecting daily life. Child reported by Patrick Fields, Laura Collier Incident occurred on 11 October 2023, 01 December 2020 Topics involved include online child abuse, harmful cultural practices Affected parts: clitoris.",Child with disability,Patrick Fields; Laura Collier,11 October 2023; 01 December 2020,online child abuse; harmful cultural practices,,clitoris
"Summary: Marriage or cohabitation with a child. Child reported by Randall Ramirez, Christopher Moore Incident occurred on 06 August 2022 Topics involved include child labor Affected parts: genitals.",Child marriage,Randall Ramirez; Christopher Moore,06 August 2022,child labor,,genitals
"Case overview: Non-medical cutting or injury of female genitals. Child reported by Ricardo Ramirez Incident occurred on 25 January 2023, 25 September 2021 Topics involved include child labor Affected parts: labia majora.",Female Genital Mutilation (FGM),Ricardo Ramirez,25 January 2023; 25 September 2021,child labor,,labia majora
"Summary: Girl under 18 who is pregnant. Child reported by John Blankenship, Brittany Rowe Incident occurred on 18 April 2023 Topics involved include Female Genital Mutilation, drug and substance abuse Affected parts: clitoris.",Child Pregnancy,John Blankenship; Brittany Rowe,18 April 2023,Female Genital Mutilation; drug and substance abuse,,clitoris
"Case overview: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Courtney Arnold, Timothy Clark Incident occurred on 25 December 2020 Topics involved include child labor, emotional abuse.",Abandoned,Courtney Arnold; Timothy Clark,25 December 2020,child labor; emotional abuse,,
"Case overview: Girl under 18 who is pregnant. Child reported by Ann Holder, Melissa Simmons Incident occurred on 23 May 2020, 03 February 2025.",Child Pregnancy,Ann Holder; Melissa Simmons,23 May 2020; 03 February 2025,,,
Summary: Girl under 18 who is pregnant. Child reported by Joanna Torres Incident occurred on 20 August 2021 Affected parts: reproductive organs.,Child Pregnancy,Joanna Torres,20 August 2021,,,reproductive organs
Case overview: Girl under 18 who is pregnant. Child reported by Brandon Kline Incident occurred on 16 June 2024 Effects reported: infection.,Child Pregnancy,Brandon Kline,16 June 2024,,infection,
"Case overview: An attempt to penetrate a child. Child reported by Elizabeth Reeves Incident occurred on 08 December 2021 Topics involved include child labor, harmful cultural practices Effects reported: psychological problems, infection.",Attempted Defilement,Elizabeth Reeves,08 December 2021,child labor; harmful cultural practices,psychological problems; infection,
"Reported incident: Practices like FGM, forced marriage, or virginity testing. Child reported by Luis Crawford, Patricia Lee Incident occurred on 31 May 2024, 05 July 2020 Effects reported: anxiety, high rate of bleeding.",Harmful cultural practices,Luis Crawford; Patricia Lee,31 May 2024; 05 July 2020,,anxiety; high rate of bleeding,
"Case overview: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Allison Lane, Colin Villa Incident occurred on 28 July 2020 Topics involved include online child abuse.",Sexual assault and Abuse,Allison Lane; Colin Villa,28 July 2020,online child abuse,,
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by Melissa Andrade Incident occurred on 12 July 2020, 21 April 2024 Effects reported: high rate of bleeding.",Physical abuse/violence,Melissa Andrade,12 July 2020; 21 April 2024,,high rate of bleeding,
"Reported incident: A child living, begging, or working on the street. Child reported by Richard Jones Incident occurred on 24 July 2021 Topics involved include child labor, Female Genital Mutilation Affected parts: clitoris.",Children on the Street,Richard Jones,24 July 2021,child labor; Female Genital Mutilation,,clitoris
"Summary: Penetration act with a child including sodomy. Child reported by Frank Becker Incident occurred on 16 August 2021, 15 October 2023 Topics involved include online child abuse.",Defilement,Frank Becker,16 August 2021; 15 October 2023,online child abuse,,
"Summary: A child living, begging, or working on the street. Child reported by Katelyn West, Jessica Lane DVM Incident occurred on 28 June 2020, 14 June 2023 Topics involved include drug and substance abuse, child marriage Effects reported: psychological problems, anxiety.",Children on the Street,Katelyn West; Jessica Lane DVM,28 June 2020; 14 June 2023,drug and substance abuse; child marriage,psychological problems; anxiety,
"Narrative: Non-medical cutting or injury of female genitals. Child reported by Anita Cannon Incident occurred on 21 January 2021, 04 February 2022 Topics involved include harmful cultural practices, child labor.",Female Genital Mutilation (FGM),Anita Cannon,21 January 2021; 04 February 2022,harmful cultural practices; child labor,,
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Sandra Cruz Incident occurred on 12 January 2025 Topics involved include online child abuse, harmful cultural practices Effects reported: high rate of bleeding, anxiety.",Sexual assault and Abuse,Sandra Cruz,12 January 2025,online child abuse; harmful cultural practices,high rate of bleeding; anxiety,
"Case overview: A child living, begging, or working on the street. Child reported by Christopher Smith Incident occurred on 25 January 2023, 07 March 2023 Topics involved include drug and substance abuse.",Children on the Street,Christopher Smith,25 January 2023; 07 March 2023,drug and substance abuse,,
"Reported incident: Penetration act with a child including sodomy. Child reported by Jody Cobb, Gregory Collins Incident occurred on 30 March 2022, 12 July 2021 Topics involved include harmful cultural practices Effects reported: infection.",Defilement,Jody Cobb; Gregory Collins,30 March 2022; 12 July 2021,harmful cultural practices,infection,
"Summary: Child tested positive for HIV. Child reported by Brittany King Incident occurred on 08 May 2020, 14 September 2020 Effects reported: HIV, trauma.",Child infected with HIV,Brittany King,08 May 2020; 14 September 2020,,HIV; trauma,
"Narrative: Child with impairments affecting daily life. Child reported by Sarah Davis Incident occurred on 16 February 2022, 23 February 2023 Effects reported: anxiety Affected parts: labia majora.",Child with disability,Sarah Davis,16 February 2022; 23 February 2023,,anxiety,labia majora
"Reported incident: Child with impairments affecting daily life. Child reported by Mr. Gregory Craig Incident occurred on 25 September 2022 Topics involved include drug and substance abuse, emotional abuse Effects reported: infection, HIV Affected parts: genitals.",Child with disability,Mr. Gregory Craig,25 September 2022,drug and substance abuse; emotional abuse,infection; HIV,genitals
"Reported incident: Right of a child to be registered at birth. Child reported by Alexander Reed Incident occurred on 11 February 2024 Topics involved include online child abuse, emotional abuse Effects reported: HIV, psychological problems Affected parts: genitals.",Registration,Alexander Reed,11 February 2024,online child abuse; emotional abuse,HIV; psychological problems,genitals
Case overview: An attempt to penetrate a child. Child reported by Nicholas Graves Incident occurred on 20 September 2020 Topics involved include drug and substance abuse Affected parts: reproductive organs.,Attempted Defilement,Nicholas Graves,20 September 2020,drug and substance abuse,,reproductive organs
Case overview: Child tested positive for HIV. Child reported by Bianca Mcknight Incident occurred on 27 November 2022 Effects reported: trauma.,Child infected with HIV,Bianca Mcknight,27 November 2022,,trauma,
"Narrative: Practices like FGM, forced marriage, or virginity testing. Child reported by Michael Johnson, Tammy Snyder Incident occurred on 26 March 2023, 03 December 2020 Topics involved include child marriage, harmful cultural practices Affected parts: genitals.",Harmful cultural practices,Michael Johnson; Tammy Snyder,26 March 2023; 03 December 2020,child marriage; harmful cultural practices,,genitals
"Narrative: A child living, begging, or working on the street. Child reported by Elizabeth Maldonado, Jeffrey Suarez Incident occurred on 26 June 2024, 12 September 2023 Topics involved include emotional abuse.",Children on the Street,Elizabeth Maldonado; Jeffrey Suarez,26 June 2024; 12 September 2023,emotional abuse,,
"Narrative: A child living, begging, or working on the street. Child reported by Samantha Reed, Debbie Myers Incident occurred on 19 December 2024, 10 February 2021 Topics involved include harmful cultural practices.",Children on the Street,Samantha Reed; Debbie Myers,19 December 2024; 10 February 2021,harmful cultural practices,,
"Narrative: Acts harming a child's emotional development. Child reported by Anna Ayers Incident occurred on 10 November 2024 Topics involved include drug and substance abuse Effects reported: anxiety, infection.",Emotional abuse,Anna Ayers,10 November 2024,drug and substance abuse,anxiety; infection,
"Case overview: Penetration act with a child including sodomy. Child reported by Diana Thomas, Michael Richardson Incident occurred on 06 May 2020.",Defilement,Diana Thomas; Michael Richardson,06 May 2020,,,
Reported incident: Acts harming a child's emotional development. Child reported by Julia Jones Incident occurred on 19 July 2022 Topics involved include child marriage Effects reported: infection.,Emotional abuse,Julia Jones,19 July 2022,child marriage,infection,
"Narrative: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Timothy Martin, Gary Adams Incident occurred on 18 December 2022 Effects reported: infection.",Sexual assault and Abuse,Timothy Martin; Gary Adams,18 December 2022,,infection,
"Summary: Child tested positive for HIV. Child reported by Steven Case Jr., Paula Adams Incident occurred on 27 April 2025, 22 September 2024 Effects reported: HIV Affected parts: labia majora.",Child infected with HIV,Steven Case Jr.; Paula Adams,27 April 2025; 22 September 2024,,HIV,labia majora
"Case overview: An attempt to penetrate a child. Child reported by Mr. Dennis Tucker, Jessica Wise Incident occurred on 14 June 2023, 02 August 2024 Effects reported: infection Affected parts: labia minora.",Attempted Defilement,Mr. Dennis Tucker; Jessica Wise,14 June 2023; 02 August 2024,,infection,labia minora
"Reported incident: A child living, begging, or working on the street. Child reported by Jeremy Palmer Incident occurred on 14 November 2024, 12 August 2021 Effects reported: infection, high rate of bleeding.",Children on the Street,Jeremy Palmer,14 November 2024; 12 August 2021,,infection; high rate of bleeding,
"Narrative: Marriage or cohabitation with a child. Child reported by Meagan Phillips, Sarah James Incident occurred on 06 November 2021, 09 March 2025 Topics involved include child labor Effects reported: infection.",Child marriage,Meagan Phillips; Sarah James,06 November 2021; 09 March 2025,child labor,infection,
Case overview: Marriage or cohabitation with a child. Child reported by Sally Willis Incident occurred on 28 November 2022 Topics involved include child labor.,Child marriage,Sally Willis,28 November 2022,child labor,,
Narrative: Marriage or cohabitation with a child. Child reported by Jodi Brown Incident occurred on 09 October 2020 Effects reported: trauma.,Child marriage,Jodi Brown,09 October 2020,,trauma,
"Case overview: A child living, begging, or working on the street. Child reported by Elizabeth Bennett Incident occurred on 24 November 2020 Effects reported: high rate of bleeding Affected parts: labia minora.",Children on the Street,Elizabeth Bennett,24 November 2020,,high rate of bleeding,labia minora
"Narrative: Child with impairments affecting daily life. Child reported by Kendra Decker, Brett Bryant Incident occurred on 25 March 2022 Effects reported: high rate of bleeding, anxiety Affected parts: reproductive organs.",Child with disability,Kendra Decker; Brett Bryant,25 March 2022,,high rate of bleeding; anxiety,reproductive organs
Case overview: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Nancy Nelson Incident occurred on 11 September 2020 Affected parts: clitoris.,Sexual assault and Abuse,Nancy Nelson,11 September 2020,,,clitoris
"Reported incident: Penetration act with a child including sodomy. Child reported by Mary Todd, Morgan White Incident occurred on 09 April 2025 Topics involved include child marriage, online child abuse Affected parts: labia minora.",Defilement,Mary Todd; Morgan White,09 April 2025,child marriage; online child abuse,,labia minora
"Reported incident: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Vanessa Schultz Incident occurred on 21 May 2022, 22 January 2022 Topics involved include harmful cultural practices, emotional abuse Effects reported: infection Affected parts: labia majora.",Sexual assault and Abuse,Vanessa Schultz,21 May 2022; 22 January 2022,harmful cultural practices; emotional abuse,infection,labia majora
"Case overview: A child living, begging, or working on the street. Child reported by Kimberly Johnson, Alyssa Valencia DDS Incident occurred on 15 July 2022 Affected parts: genitals.",Children on the Street,Kimberly Johnson; Alyssa Valencia DDS,15 July 2022,,,genitals
"Reported incident: Right of a child to be registered at birth. Child reported by Kevin Jones, Miss Melanie Palmer Incident occurred on 20 August 2020, 18 May 2020 Topics involved include drug and substance abuse, harmful cultural practices Affected parts: labia majora.",Registration,Kevin Jones; Miss Melanie Palmer,20 August 2020; 18 May 2020,drug and substance abuse; harmful cultural practices,,labia majora
"Reported incident: Girl under 18 who is pregnant. Child reported by Joy Nelson, William Powell Incident occurred on 06 February 2023, 01 February 2025 Affected parts: labia minora.",Child Pregnancy,Joy Nelson; William Powell,06 February 2023; 01 February 2025,,,labia minora
"Reported incident: Sexual acts between close relatives. Child reported by Anna Reyes, Brenda Zavala Incident occurred on 22 November 2020, 19 December 2021 Effects reported: high rate of bleeding Affected parts: reproductive organs.",Incest,Anna Reyes; Brenda Zavala,22 November 2020; 19 December 2021,,high rate of bleeding,reproductive organs
"Narrative: Marriage or cohabitation with a child. Child reported by Mackenzie Valencia Incident occurred on 07 April 2023 Topics involved include drug and substance abuse Effects reported: infection, high rate of bleeding Affected parts: labia minora.",Child marriage,Mackenzie Valencia,07 April 2023,drug and substance abuse,infection; high rate of bleeding,labia minora
"Reported incident: Hazardous, exploitative or inappropriate work for a child. Child reported by Edward Davis, Christina Mendez Incident occurred on 29 February 2024 Topics involved include harmful cultural practices Effects reported: infection, anxiety Affected parts: labia minora.",Child labor,Edward Davis; Christina Mendez,29 February 2024,harmful cultural practices,infection; anxiety,labia minora
"Reported incident: Practices like FGM, forced marriage, or virginity testing. Child reported by Stephen Dalton Incident occurred on 17 May 2022 Topics involved include emotional abuse Effects reported: HIV.",Harmful cultural practices,Stephen Dalton,17 May 2022,emotional abuse,HIV,
"Reported incident: Non-medical cutting or injury of female genitals. Child reported by Jessica Figueroa, Samantha Mcintyre Incident occurred on 10 March 2024 Topics involved include harmful cultural practices, drug and substance abuse Effects reported: high rate of bleeding Affected parts: labia minora.",Female Genital Mutilation (FGM),Jessica Figueroa; Samantha Mcintyre,10 March 2024,harmful cultural practices; drug and substance abuse,high rate of bleeding,labia minora
"Narrative: An attempt to penetrate a child. Child reported by Linda Shaw, Gwendolyn Hansen Incident occurred on 17 August 2023, 04 October 2022.",Attempted Defilement,Linda Shaw; Gwendolyn Hansen,17 August 2023; 04 October 2022,,,
"Case overview: Child engaged in use or trafficking of drugs. Child reported by Lori White Incident occurred on 10 January 2021, 08 September 2024 Topics involved include child marriage Effects reported: HIV.",Drug and substance abuse,Lori White,10 January 2021; 08 September 2024,child marriage,HIV,
"Case overview: Hazardous, exploitative or inappropriate work for a child. Child reported by Joseph Escobar, Christian Jennings Incident occurred on 05 October 2022, 18 July 2024 Topics involved include drug and substance abuse Effects reported: infection, trauma Affected parts: labia minora.",Child labor,Joseph Escobar; Christian Jennings,05 October 2022; 18 July 2024,drug and substance abuse,infection; trauma,labia minora
"Reported incident: A child under 14 unlawfully or forcibly taken or detained. Child reported by Cody Mendez, Laura Beard Incident occurred on 17 December 2021, 02 May 2020 Topics involved include Female Genital Mutilation, online child abuse Effects reported: infection.",Abduction,Cody Mendez; Laura Beard,17 December 2021; 02 May 2020,Female Genital Mutilation; online child abuse,infection,
"Narrative: Girl under 18 who is pregnant. Child reported by Matthew Guerra Incident occurred on 24 September 2021 Topics involved include online child abuse, child labor Effects reported: psychological problems.",Child Pregnancy,Matthew Guerra,24 September 2021,online child abuse; child labor,psychological problems,
Case overview: A child under 14 unlawfully or forcibly taken or detained. Child reported by Mackenzie Sims Incident occurred on 08 July 2023 Topics involved include harmful cultural practices Affected parts: labia minora.,Abduction,Mackenzie Sims,08 July 2023,harmful cultural practices,,labia minora
"Case overview: Girl under 18 who is pregnant. Child reported by Stacey Meyers, Dominic Wilcox Incident occurred on 24 July 2024, 12 July 2023 Topics involved include Female Genital Mutilation, online child abuse Affected parts: labia minora.",Child Pregnancy,Stacey Meyers; Dominic Wilcox,24 July 2024; 12 July 2023,Female Genital Mutilation; online child abuse,,labia minora
"Reported incident: A child under 14 unlawfully or forcibly taken or detained. Child reported by Nicole Weber Incident occurred on 21 March 2024 Topics involved include Female Genital Mutilation, drug and substance abuse.",Abduction,Nicole Weber,21 March 2024,Female Genital Mutilation; drug and substance abuse,,
"Reported incident: Girl under 18 who is pregnant. Child reported by Ian Williamson, Angelica Carr Incident occurred on 16 July 2020 Topics involved include child marriage Effects reported: psychological problems Affected parts: genitals.",Child Pregnancy,Ian Williamson; Angelica Carr,16 July 2020,child marriage,psychological problems,genitals
